,gc_content,mean_coverage
634,0.4026,5.5015
635,0.384,5.5854
636,0.377,5.295
637,0.5145,4.0088
638,0.5017,4.8455
639,0.3703,5.6732
640,0.3357,5.6338
641,0.4912,4.7836
642,0.3823,5.0026
643,0.5079,5.1623
644,0.4387,5.1691
645,0.3915,5.4378
646,0.3984,4.8621
647,0.3988,5.6245
648,0.373,5.2253
649,0.3831,4.6717
650,0.3711,4.4359
651,0.3659,5.28
652,0.3791,5.1449
653,0.4161,4.9871
654,0.3865,5.3095
655,0.3491,4.9324
656,0.372,6.0632
657,0.4,5.1567
658,0.3854,5.6597
659,0.452,5.4213
660,0.4284,5.0378
661,0.4676,4.8558
662,0.378,4.3906
663,0.3684,5.0353
664,0.4067,5.3074
665,0.349,5.384
666,0.323,5.6616
667,0.3379,5.458
668,0.3895,5.769
669,0.3557,5.331
670,0.4195,4.9719
671,0.4303,4.6934
672,0.3755,5.3036
673,0.3486,6.2748
674,0.3851,5.601
675,0.3818,5.4782
676,0.3971,5.8201
677,0.4655,5.5513
678,0.452,4.9925
679,0.4742,4.3904
680,0.4283,4.8651
681,0.4333,5.2933
682,0.4479,4.7609
683,0.5318,4.4441
684,0.492,4.4128
685,0.4094,5.3514
686,0.4617,5.4732
687,0.0,0.0
688,0.0,0.0
689,0.0,0.0
690,0.0,0.0
691,0.0,0.0
692,0.0,0.0
693,0.3567,5.0392
694,0.363,5.6066
695,0.3692,4.8411
696,0.4877,4.3366
697,0.5297,3.825
698,0.3675,4.8888
699,0.3672,4.8535
700,0.4243,4.9768
701,0.4198,5.4814
702,0.3479,5.2329
703,0.412,5.969
704,0.417,5.4493
705,0.3299,4.8833
706,0.4124,4.9174
707,0.397,5.2792
708,0.3424,4.9586
709,0.3579,5.1627
710,0.3362,5.1208
711,0.3439,5.5834
712,0.3432,5.2636
713,0.3458,5.4719
714,0.385,5.3113
715,0.3189,4.4433
716,0.3875,4.8414
717,0.355,5.0988
718,0.4405,4.8322
719,0.399,5.0677
720,0.4124,5.1447
721,0.3528,5.3172
722,0.3687,5.7166
723,0.4066,5.2201
724,0.5705,4.1452
725,0.0,0.0
726,0.0,0.0
727,0.0,0.0
728,0.0,0.0
729,0.0,0.0
730,0.0,0.0
731,0.3377,5.725
732,0.41,5.719
733,0.4575,4.8635
734,0.3107,4.7137
735,0.4269,4.8338
736,0.4148,4.826
737,0.334,5.3461
738,0.3354,5.3225
739,0.3211,5.232
740,0.3486,5.8688
741,0.3519,5.5156
742,0.3934,4.7952
743,0.436,5.7825
744,0.3753,5.2605
745,0.3993,5.6382
746,0.4511,4.6558
747,0.4183,5.388
748,0.4226,4.6505
749,0.4453,5.0498
750,0.3656,5.8687
751,0.415,5.3283
752,0.3974,5.8085
753,0.3663,5.3641
754,0.3857,5.1558
755,0.5036,5.2886
756,0.3802,6.0439
757,0.4078,5.0595
758,0.4395,4.7175
759,0.601,4.0509
760,0.0,0.0
761,0.0,0.0
762,0.0,0.0
763,0.0,0.0
764,0.0,0.0
765,0.3761,4.9044
766,0.3774,5.6612
767,0.3969,5.4132
768,0.4063,5.0071
769,0.466,4.8258
770,0.4193,5.2264
771,0.3728,5.1094
772,0.3573,4.9607
773,0.4131,4.9239
774,0.4192,5.3402
775,0.4197,4.8827
776,0.3686,5.7393
777,0.4646,5.2192
778,0.4223,4.6894
779,0.368,5.5799
780,0.4198,6.0155
781,0.4259,5.2982
782,0.4409,4.7315
783,0.5049,4.9664
784,0.5291,4.9821
785,0.3689,5.601
786,0.4433,4.7147
787,0.5302,4.7191
788,0.4449,5.5572
789,0.3839,4.7427
790,0.4671,4.9078
791,0.367,5.4056
792,0.4141,5.1224
793,0.5081,3.6189
794,0.5344,4.7693
795,0.4049,5.9042
796,0.4666,4.4187
797,0.4395,4.7498
798,0.4667,4.6608
799,0.3801,5.1157
800,0.3943,11.0521
801,0.4649,4.5713
802,0.5028,4.5607
803,0.5057,3.8845
804,0.3729,1.3781
805,0.0,0.0
806,0.0,0.0
807,0.0,0.0
808,0.3701,6.0846
809,0.4605,4.6865
810,0.3983,5.3434
811,0.4043,5.5072
812,0.3734,4.8296
813,0.364,5.0002
814,0.4067,4.7301
815,0.5207,4.8101
816,0.3794,4.7108
817,0.4774,4.8
818,0.4363,5.2572
819,0.3989,5.0592
820,0.5546,4.0654
821,0.563,4.3145
822,0.6068,3.4611
823,0.5549,3.9959
824,0.4283,4.7955
825,0.5562,3.9185
826,0.4517,5.1138
827,0.3899,4.9382
828,0.4079,5.2316
829,0.3856,5.1252
830,0.4093,9.9007
831,0.409,0.3724
832,0.5294,4.4005
833,0.4421,4.6624
834,0.455,4.5866
835,0.4084,4.8076
836,0.5458,4.1273
837,0.494,4.3196
838,0.4743,4.3931
839,0.5417,4.7406
840,0.3998,4.4544
841,0.415,4.6406
842,0.4524,4.8158
843,0.3587,5.4928
844,0.4248,5.1558
845,0.3727,5.3983
846,0.351,5.7913
847,0.5103,5.1057
848,0.5109,4.3496
849,0.5376,3.8994
850,0.4092,5.0585
851,0.3999,5.4351
852,0.4386,5.023
853,0.4185,4.6502
854,0.4589,5.0051
855,0.3979,3.6599
856,0.3977,3.8233
857,0.4281,5.6149
858,0.3753,5.9299
859,0.3489,4.6854
860,0.3675,5.6339
861,0.4438,5.8333
862,0.3621,5.4142
863,0.3801,6.0525
864,0.3739,4.2234
865,0.4418,5.1582
866,0.4287,5.4728
867,0.4098,5.6168
868,0.4247,4.9724
869,0.4489,5.042
870,0.4148,5.4686
871,0.3921,6.0808
872,0.3936,4.7194
873,0.3563,5.3363
874,0.4031,5.4244
875,0.465,4.6461
876,0.5544,3.571
877,0.4946,4.9699
878,0.543,3.7395
879,0.441,4.7005
880,0.5343,4.2084
881,0.4179,6.2207
882,0.4303,5.3614
883,0.4172,4.7624
884,0.0,0.0
885,0.3647,5.0423
886,0.4186,5.5949
887,0.5908,3.6925
888,0.6445,18.1742
889,0.406,4.9465
890,0.3544,5.6685
891,0.5156,4.3699
892,0.4994,4.0643
893,0.4349,3.9197
894,0.3887,5.3395
895,0.365,4.723
896,0.4003,5.3198
897,0.3636,5.0985
898,0.3822,5.1503
899,0.4095,5.8018
900,0.4835,5.044
901,0.4645,5.4992
902,0.3868,5.0223
903,0.4029,5.6593
904,0.3909,12.3907
905,0.3435,6.6192
906,0.5147,4.854
907,0.456,4.3284
908,0.451,4.8284
909,0.4494,4.5446
910,0.4115,4.942
911,0.4719,5.143
912,0.3979,5.3023
913,0.3431,5.7239
914,0.3265,4.8352
915,0.4791,4.3702
916,0.0,0.0
917,0.0,0.0
918,0.1332,2.3154
919,0.3521,7.6568
920,0.0,0.0
921,0.4714,4.5756
922,0.3309,5.0681
923,0.3316,5.1971
924,0.3321,5.2722
925,0.3857,5.3618
926,0.4475,5.1311
927,0.4226,6.0163
928,0.4318,5.1421
929,0.3994,5.2003
930,0.5752,1.8834
931,0.0,0.0
932,0.0,0.0
933,0.0,0.0
934,0.4518,26.5422
935,0.4575,4.7286
936,0.0,0.0
937,0.465,4.947
938,0.4309,2.7271
939,0.5028,4.6233
940,0.5401,4.0194
941,0.4495,4.5395
942,0.4423,4.9644
943,0.4825,4.7423
944,0.5267,5.2716
945,0.438,5.453
946,0.4878,5.2056
